ID;Case Number;Date;Block;IUCR;Primary Type;Description;Location Description;Arrest;Domestic;FBI Code;Year;Updated On;Latitude;Longitude
10533459;HZ277174;05/24/2016 02:00:00 AM;020XX S SPRINGFIELD AVE;0498;BATTERY;AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY;APARTMENT;false;true;04B;2016;05/31/2016 03:53:32 PM;41.853931543;-87.722315746
10533460;HZ277178;05/24/2016 02:00:00 AM;003XX W GARFIELD BLVD;0460;BATTERY;SIMPLE;SIDEWALK;false;true;08B;2016;05/31/2016 03:53:32 PM;41.794509508;-87.633301738
10533461;HZ277177;05/24/2016 05:20:00 AM;011XX S STATE ST;0460;BATTERY;SIMPLE;CTA PLATFORM;false;false;08B;2016;05/31/2016 03:53:32 PM;41.868165405;-87.62743954
10533466;HZ277129;05/24/2016 02:10:00 AM;017XX S LAKE SHORE DR E;3910;INTERFERENCE WITH PUBLIC OFFICER;BRIBERY;HIGHWAY/EXPRESSWAY;true;false;26;2016;05/31/2016 03:53:32 PM;41.858821765;-87.616889447
10533467;HZ277181;05/24/2016 12:01:00 AM;083XX S OGLESBY AVE;0610;BURGLARY;FORCIBLE ENTRY;RESIDENCE-GARAGE;false;false;05;2016;05/31/2016 03:53:32 PM;41.743428895;-87.567324423
10533472;HZ277183;05/24/2016 05:45:00 AM;040XX W 77TH PL;0910;MOTOR VEHICLE THEFT;AUTOMOBILE;STREET;false;false;07;2016;05/31/2016 03:53:32 PM;41.752694957;-87.723364779
10533475;HZ277195;05/24/2016 03:30:00 AM;059XX W MIDWAY PARK;0820;THEFT;$500 AND UNDER;RESIDENCE PORCH/HALLWAY;false;false;06;2016;05/31/2016 03:53:32 PM;41.888971419;-87.773148676
10533492;HZ277209;05/24/2016 02:00:00 AM;022XX N HALSTED ST;1310;CRIMINAL DAMAGE;TO PROPERTY;ATHLETIC CLUB;false;false;14;2016;05/31/2016 03:53:32 PM;41.922399216;-87.648653979
10533500;HZ277161;05/24/2016 04:08:00 AM;037XX S WALLACE ST;1310;CRIMINAL DAMAGE;TO PROPERTY;APARTMENT;true;false;14;2016;05/31/2016 03:53:32 PM;41.826302692;-87.641122715
10533513;HZ277192;05/24/2016 06:25:00 AM;047XX S TRIPP AVE;0486;BATTERY;DOMESTIC BATTERY SIMPLE;RESIDENCE;false;true;08B;2016;05/31/2016 03:53:32 PM;41.807112064;-87.729685875
10533464;HZ277155;05/24/2016 04:05:00 AM;050XX S PRAIRIE AVE;0610;BURGLARY;FORCIBLE ENTRY;RESTAURANT;true;false;05;2016;07/06/2016 03:55:54 PM;41.80291767;-87.619427096
10533437;HZ277117;05/24/2016 02:03:00 AM;073XX S DORCHESTER AVE;051A;ASSAULT;AGGRAVATED: HANDGUN;APARTMENT;true;false;04A;2016;09/20/2016 03:47:35 PM;41.76182216;-87.590882696
10533516;HZ277203;05/24/2016 06:30:00 AM;078XX S KEDVALE AVE;0930;MOTOR VEHICLE THEFT;THEFT/RECOVERY: AUTOMOBILE;STREET;false;false;07;2016;05/31/2016 03:53:32 PM;41.750748928;-87.725376806
10533517;HZ277228;05/24/2016 03:00:00 AM;071XX S EMERALD AVE;1320;CRIMINAL DAMAGE;TO VEHICLE;OTHER;false;false;14;2016;05/31/2016 03:53:32 PM;41.764268496;-87.643003179
10533524;HZ277185;05/24/2016 01:30:00 AM;034XX W 61ST ST;0810;THEFT;OVER $500;STREET;false;false;06;2016;05/31/2016 03:53:32 PM;41.782516361;-87.709395105
10533529;HZ277190;05/24/2016 12:00:00 AM;051XX N MILWAUKEE AVE;0620;BURGLARY;UNLAWFUL ENTRY;RESIDENCE;false;false;05;2016;05/31/2016 03:53:32 PM;41.974129858;-87.766357256
10533546;HZ277136;05/24/2016 02:55:00 AM;015XX N MILWAUKEE AVE;0460;BATTERY;SIMPLE;BAR OR TAVERN;false;false;08B;2016;05/31/2016 03:53:32 PM;41.909422255;-87.675974898
10533551;HZ277218;05/24/2016 07:15:00 AM;005XX S COLUMBUS DR;1340;CRIMINAL DAMAGE;TO STATE SUP PROP;PARK PROPERTY;false;false;14;2016;05/31/2016 03:53:32 PM;41.875452995;-87.620592186
10533556;HZ277182;05/24/2016 05:30:00 AM;058XX S HALSTED ST;0320;ROBBERY;STRONGARM - NO WEAPON;SIDEWALK;false;false;03;2016;05/31/2016 03:53:32 PM;41.788638889;-87.645011568
10533561;HZ277223;05/24/2016 06:49:00 AM;032XX W BRYN MAWR AVE;0486;BATTERY;DOMESTIC BATTERY SIMPLE;APARTMENT;true;true;08B;2016;05/31/2016 03:53:32 PM;41.983068616;-87.709390221
10533572;HZ277246;05/24/2016 02:30:00 AM;098XX S DR MARTIN LUTHER KING JR DR;0320;ROBBERY;STRONGARM - NO WEAPON;STREET;false;false;03;2016;05/31/2016 03:53:32 PM;41.716188647;-87.613996251
10533573;HZ277186;05/24/2016 05:49:00 AM;052XX W GEORGE ST;0486;BATTERY;DOMESTIC BATTERY SIMPLE;RESIDENCE;false;true;08B;2016;05/31/2016 03:53:32 PM;41.933213402;-87.757495166
10533621;HZ277275;05/24/2016 01:50:00 AM;0000X W BURTON PL;0810;THEFT;OVER $500;RESIDENCE;false;false;06;2016;05/31/2016 03:53:32 PM;41.909468236;-87.629559989
10533625;HZ277329;05/24/2016 12:01:00 AM;012XX W 18TH ST;0810;THEFT;OVER $500;SIDEWALK;false;false;06;2016;05/31/2016 03:53:32 PM;41.857940844;-87.657171844
10533693;HZ277268;05/24/2016 01:00:00 AM;013XX S PLYMOUTH CT;0630;BURGLARY;ATTEMPT FORCIBLE ENTRY;APARTMENT;false;false;05;2016;05/31/2016 03:53:32 PM;41.864982868;-87.628462108
10533698;HZ277267;05/24/2016 08:20:00 AM;040XX S ELLIS AVE;2820;OTHER OFFENSE;TELEPHONE THREAT;RESIDENCE;false;false;26;2016;05/31/2016 03:53:32 PM;41.821553176;-87.603569294
10533709;HZ277378;05/24/2016 09:30:00 AM;009XX E 79TH ST;0890;THEFT;FROM BUILDING;APARTMENT;false;false;06;2016;05/31/2016 03:53:32 PM;41.751330763;-87.601154923
10533710;HZ277282;05/24/2016 08:20:00 AM;027XX W 65TH ST;0530;ASSAULT;AGGRAVATED: OTHER DANG WEAPON;STREET;true;true;04A;2016;05/31/2016 03:53:32 PM;41.775452714;-87.691492266
10533721;HZ277309;05/24/2016 08:43:00 AM;004XX S CENTRAL AVE;0820;THEFT;$500 AND UNDER;RESIDENCE;false;true;06;2016;05/31/2016 03:53:32 PM;41.874393341;-87.76464733
10533727;HZ277384;05/24/2016 12:01:00 AM;084XX S VINCENNES AVE;1320;CRIMINAL DAMAGE;TO VEHICLE;STREET;false;false;14;2016;05/31/2016 03:53:32 PM;41.74099774;-87.638606337
10533728;HZ277219;05/24/2016 07:00:00 AM;084XX S VINCENNES AVE;1320;CRIMINAL DAMAGE;TO VEHICLE;STREET;false;true;14;2016;05/31/2016 03:53:32 PM;41.74099774;-87.638606337
10533729;HZ277214;05/24/2016 02:00:00 AM;075XX S SANGAMON ST;2825;OTHER OFFENSE;HARASSMENT BY TELEPHONE;RESIDENCE;false;true;26;2016;05/31/2016 03:53:32 PM;41.757019604;-87.647845451
10533730;HZ277345;05/24/2016 09:00:00 AM;076XX S LAFAYETTE AVE;0560;ASSAULT;SIMPLE;RESIDENCE;false;false;08A;2016;05/31/2016 03:53:32 PM;41.755862783;-87.626318576
