nb_objets,temps_arbo,temps_dyn,timeout
5,0.2708834590011975,0.2606002920001629,False
5,0.254756834001455,0.24955287500051782,False
6,0.2499122500012163,0.2505139999993844,False
6,0.25023320900072576,0.2483531249963562,False
7,0.2505343750017346,0.2515309590016841,False
7,0.26578279200475663,0.3112043330038432,False
8,0.26034954100032337,0.26098762500623707,False
8,0.2776525420049438,0.29092566599865677,False
9,0.25346479199652094,0.25284162500611274,False
9,0.2648451249988284,0.26128958300250815,False
10,0.2799422919997596,0.26673283399577485,False
10,0.2623033749987371,0.2641740419931011,False
11,0.26243708299443824,0.2773325419984758,False
11,0.25796120800077915,0.2813036250008736,False
12,0.25382562500453787,0.2511599580029724,False
12,0.25010829199891305,0.2556260420024046,False
13,0.2506970419999561,0.24859487500361865,False
13,0.25392654199822573,0.2501514999967185,False
14,0.25314220799918985,0.25287808300345205,False
14,0.24973791699449066,0.25329091700405115,False
15,0.2554304579971358,0.25428370800364064,False
15,0.2517037080033333,0.25252000000182306,False
16,0.2551888330053771,0.24952604199643247,False
16,0.25319991600554204,0.2536678749966086,False
17,0.2495772920010495,0.2599213339999551,False
17,0.2584196250027162,0.25392637500044657,False
18,0.2533672080026008,0.2540491249965271,False
18,0.3157444999960717,0.2600467089941958,False
19,0.25128666700038593,0.24998900000355206,False
19,0.2510848750025616,0.25598016600270057,False
20,0.24776366599689936,0.2704182919987943,False
20,0.2570645840023644,0.24926187499659136,False
21,0.28584229099942604,0.2563062919944059,False
21,0.2576584999987972,0.25629024999943795,False
22,0.2689126250043046,0.2518105000053765,False
22,0.25150308400043286,0.25205008299963083,False
23,0.28024391700455453,0.2541148750024149,False
23,0.2562458750035148,0.2519145420010318,False
24,0.25036466700112214,0.25111000000470085,False
24,0.25166283300495706,0.25299037500371924,False
25,0.2531995419994928,0.2528207499999553,False
25,0.2513098749986966,0.2630270829977235,False
26,0.2538332089970936,0.2530717499976163,False
26,0.2512340419998509,0.25157629099703627,False
27,0.25283816600131104,0.25279049999517156,False
27,0.2515320829988923,0.2520159589985269,False
28,0.2506074999982957,0.25485754200053634,False
28,0.25139499999932013,0.25144833300146274,False
29,0.25101441600418184,0.25155208299838705,False
29,0.2511689579987433,0.25221725000301376,False
30,0.25290995799878146,0.2527519580035005,False
30,0.25191137500223704,0.2540617909980938,False
31,0.251829082997574,0.2776467500007129,False
31,0.25680308399751084,0.25183908300095936,False
32,0.2515147079975577,0.25211408299946925,False
32,0.2557789159982349,0.2648462910001399,False
33,0.25495924999995623,0.2865234999990207,False
33,0.2680838340020273,0.2532667909981683,False
34,0.25314841700310353,0.2530680419949931,False
34,0.25596650000079535,0.2550613749990589,False
35,0.2513645840008394,0.25320062499667984,False
35,0.2522820000012871,0.25319379099528305,False
36,0.2542914580044453,0.25716729200212285,False
36,0.2541611670021666,0.25272608299565036,False
37,0.2523134579969337,0.25288562499918044,False
37,0.25022066699602874,0.2533910839993041,False
38,0.25417483300407184,0.2538544170020032,False
38,0.25635987499845214,0.28423737500270363,False
39,0.2604927919965121,0.2558612089997041,False
39,0.2600332910005818,0.2580622090026736,False
40,0.25778058399737347,0.2540089579997584,False
40,0.2527782909965026,0.2533187090011779,False
41,0.25359816699346993,0.2542168750005658,False
41,0.25426591699942946,0.2548414170014439,False
42,0.2518315000052098,0.2548231670007226,False
42,0.2525684580032248,0.25898816699918825,False
43,0.25655504099995596,0.2792242499999702,False
43,0.2540294580030604,0.25415041700034635,False
44,0.25471366699639475,0.25438887500058627,False
44,0.25609645799704595,0.2526833330048248,False
45,0.25396733300294727,0.25406008300342364,False
45,0.252585000002,0.2582757499985746,False
46,0.25363800000195624,0.2568945410021115,False
46,0.25206341599550797,0.25350800000160234,False
47,0.25698708400159376,0.2535454579992802,False
47,0.25538845799746923,0.25636054200003855,False
48,0.2753899589952198,0.2547855000011623,False
48,0.25274570799956564,0.2543006669948227,False
49,0.25293829099973664,0.2541277920026914,False
49,0.2548010000027716,0.25595445799990557,False
50,0.25867374999506865,0.26168637500086334,False
50,0.25785679199907463,0.25614754200069,False
51,0.26012858300236985,0.2545537920013885,False
51,0.2565842909971252,0.26174020799953723,False
52,0.25507862499944167,0.2592110830009915,False
52,0.2621231250013807,0.2815816670045024,False
53,0.252026708003541,0.2598986659941147,False
53,0.2535970409953734,0.2631335409969324,False
54,0.2599922500012326,0.26185850000183564,False
54,0.2578488329963875,0.2588725409950712,False
55,0.2568222909976612,0.2572553330028313,False
